ts;mw
07.01.2020 17:30;1101,44
07.01.2020 17:45;1103,69
07.01.2020 18:00;1085,59
07.01.2020 18:15;1073,71
07.01.2020 18:30;1068,67
07.01.2020 18:45;1087,15
07.01.2020 19:00;1089,20
07.01.2020 19:15;1077,55
07.01.2020 19:30;1070,31
07.01.2020 19:45;1071,56
07.01.2020 20:00;1073,59
07.01.2020 20:15;1077,80
07.01.2020 20:30;1068,66
07.01.2020 20:45;1068,82
07.01.2020 21:00;1060,72
07.01.2020 21:15;1059,05
07.01.2020 21:30;1042,77
07.01.2020 21:45;1022,33
07.01.2020 22:00;1002,45
07.01.2020 22:15;1007,56
07.01.2020 22:30;1006,34
07.01.2020 22:45;1001,47
07.01.2020 23:00;995,83
07.01.2020 23:15;993,86
07.01.2020 23:30;989,76
07.01.2020 23:45;988,58
08.01.2020 00:00;982,10
08.01.2020 00:15;975,78
08.01.2020 00:30;974,65
08.01.2020 00:45;973,56
08.01.2020 01:00;984,70
08.01.2020 01:15;976,68
08.01.2020 01:30;978,65
08.01.2020 01:45;965,73
08.01.2020 02:00;964,23
08.01.2020 02:15;957,88
08.01.2020 02:30;961,04
08.01.2020 02:45;954,28
08.01.2020 03:00;949,85
08.01.2020 03:15;958,09
08.01.2020 03:30;975,56
08.01.2020 03:45;975,33
08.01.2020 04:00;967,59
08.01.2020 04:15;980,33
08.01.2020 04:30;987,84
08.01.2020 04:45;991,51
08.01.2020 05:00;998,65
08.01.2020 05:15;1004,43
08.01.2020 05:30;1009,07
08.01.2020 05:45;1023,33
08.01.2020 06:00;1041,57
08.01.2020 06:15;1084,35
08.01.2020 06:30;1125,39
08.01.2020 06:45;1148,71
08.01.2020 07:00;1156,79
08.01.2020 07:15;1190,42
08.01.2020 07:30;1200,65
08.01.2020 07:45;1213,30
08.01.2020 08:00;1214,99
08.01.2020 08:15;1239,79
08.01.2020 08:30;1244,88
08.01.2020 08:45;1244,01
08.01.2020 09:00;1236,50
08.01.2020 09:15;1221,06
08.01.2020 09:30;1217,58
08.01.2020 09:45;1210,53
08.01.2020 10:00;1208,28
08.01.2020 10:15;1220,20
08.01.2020 10:30;1225,69
08.01.2020 10:45;1227,63
08.01.2020 11:00;1213,98
08.01.2020 11:15;1220,94
08.01.2020 11:30;1230,92
08.01.2020 11:45;1220,74
08.01.2020 12:00;1213,60
08.01.2020 12:15;1204,86
08.01.2020 12:30;1191,88
08.01.2020 12:45;1187,37
08.01.2020 13:00;1192,56
08.01.2020 13:15;1194,09
08.01.2020 13:30;1193,15
08.01.2020 13:45;1184,08
08.01.2020 14:00;1183,04
08.01.2020 14:15;1179,89
08.01.2020 14:30;1187,84
08.01.2020 14:45;1177,94
08.01.2020 15:00;1168,58
08.01.2020 15:15;1166,16
08.01.2020 15:30;1165,10
08.01.2020 15:45;1162,65
08.01.2020 16:00;1158,02
08.01.2020 16:15;1138,96
08.01.2020 16:30;1142,69
08.01.2020 16:45;1139,12
08.01.2020 17:00;1140,65
08.01.2020 17:15;1127,88
08.01.2020 17:30;1111,72
08.01.2020 17:45;1108,86
08.01.2020 18:00;1107,14
08.01.2020 18:15;1090,61
08.01.2020 18:30;1086,39
08.01.2020 18:45;1086,12
08.01.2020 19:00;1085,19
08.01.2020 19:15;1087,01
08.01.2020 19:30;1081,36
08.01.2020 19:45;1068,83
08.01.2020 20:00;1064,90
08.01.2020 20:15;1069,75
08.01.2020 20:30;1067,99
08.01.2020 20:45;1068,78
08.01.2020 21:00;1059,77
08.01.2020 21:15;1057,23
08.01.2020 21:30;1049,05
08.01.2020 21:45;1034,41
08.01.2020 22:00;1005,33
08.01.2020 22:15;1001,06
08.01.2020 22:30;1007,85
08.01.2020 22:45;1004,36
08.01.2020 23:00;992,92
08.01.2020 23:15;981,76
08.01.2020 23:30;981,54
08.01.2020 23:45;978,22
09.01.2020 00:00;971,33
09.01.2020 00:15;971,20
09.01.2020 00:30;976,89
09.01.2020 00:45;977,80
09.01.2020 01:00;971,22
09.01.2020 01:15;973,05
09.01.2020 01:30;974,70
09.01.2020 01:45;971,63
09.01.2020 02:00;959,53
09.01.2020 02:15;961,93
09.01.2020 02:30;959,42
09.01.2020 02:45;967,66
09.01.2020 03:00;961,52
09.01.2020 03:15;975,01
09.01.2020 03:30;976,95
09.01.2020 03:45;975,43
09.01.2020 04:00;961,56
09.01.2020 04:15;973,47
09.01.2020 04:30;972,72
09.01.2020 04:45;981,63
09.01.2020 05:00;981,60
09.01.2020 05:15;997,36
09.01.2020 05:30;1002,64
09.01.2020 05:45;1006,08
09.01.2020 06:00;1021,05
09.01.2020 06:15;1082,50
09.01.2020 06:30;1124,01
09.01.2020 06:45;1144,13
09.01.2020 07:00;1167,33
09.01.2020 07:15;1193,10
09.01.2020 07:30;1199,05
09.01.2020 07:45;1209,02
09.01.2020 08:00;1217,01
09.01.2020 08:15;1216,53
09.01.2020 08:30;1219,95
09.01.2020 08:45;1228,51
09.01.2020 09:00;1220,68
09.01.2020 09:15;1206,71
09.01.2020 09:30;1209,66
09.01.2020 09:45;1206,74
09.01.2020 10:00;1208,76
09.01.2020 10:15;1208,08
09.01.2020 10:30;1215,23
09.01.2020 10:45;1222,10
09.01.2020 11:00;1219,44
09.01.2020 11:15;1215,61
09.01.2020 11:30;1220,58
09.01.2020 11:45;1232,91
09.01.2020 12:00;1219,18
09.01.2020 12:15;1195,75
09.01.2020 12:30;1196,58
09.01.2020 12:45;1200,41
09.01.2020 13:00;1206,05
09.01.2020 13:15;1215,26
09.01.2020 13:30;1213,30
09.01.2020 13:45;1209,74
09.01.2020 14:00;1194,70
09.01.2020 14:15;1202,58
09.01.2020 14:30;1204,77
09.01.2020 14:45;1204,55
09.01.2020 15:00;1201,37
09.01.2020 15:15;1200,20
09.01.2020 15:30;1181,90
09.01.2020 15:45;1184,09
09.01.2020 16:00;1177,39
09.01.2020 16:15;1158,40
09.01.2020 16:30;1153,76
09.01.2020 16:45;1147,91
09.01.2020 17:00;1137,85
09.01.2020 17:15;1125,97
09.01.2020 17:30;1122,41
09.01.2020 17:45;1124,43
09.01.2020 18:00;1119,68
09.01.2020 18:15;1101,73
09.01.2020 18:30;1096,79
09.01.2020 18:45;1095,29
09.01.2020 19:00;1096,77
09.01.2020 19:15;1091,59
09.01.2020 19:30;1079,94
09.01.2020 19:45;1079,96
09.01.2020 20:00;1080,03
09.01.2020 20:15;1086,80
09.01.2020 20:30;1078,37
09.01.2020 20:45;1068,57
09.01.2020 21:00;1053,91
09.01.2020 21:15;1043,09
09.01.2020 21:30;1034,80
09.01.2020 21:45;1019,82
09.01.2020 22:00;999,95
09.01.2020 22:15;991,42
09.01.2020 22:30;995,76
09.01.2020 22:45;994,71
09.01.2020 23:00;992,66
09.01.2020 23:15;984,03
09.01.2020 23:30;974,44
09.01.2020 23:45;983,83
10.01.2020 00:00;981,83
10.01.2020 00:15;978,34
10.01.2020 00:30;971,66
10.01.2020 00:45;978,45
10.01.2020 01:00;970,29
10.01.2020 01:15;969,20
10.01.2020 01:30;966,55
10.01.2020 01:45;970,87
10.01.2020 02:00;968,73
10.01.2020 02:15;957,22
10.01.2020 02:30;944,37
10.01.2020 02:45;954,41
10.01.2020 03:00;958,85
10.01.2020 03:15;955,41
10.01.2020 03:30;956,14
10.01.2020 03:45;955,20
10.01.2020 04:00;968,30
10.01.2020 04:15;974,04
10.01.2020 04:30;968,15
10.01.2020 04:45;978,41
10.01.2020 05:00;978,56
10.01.2020 05:15;995,14
10.01.2020 05:30;1008,83
10.01.2020 05:45;1013,06
10.01.2020 06:00;1025,16
10.01.2020 06:15;1072,10
10.01.2020 06:30;1112,08
10.01.2020 06:45;1137,56
10.01.2020 07:00;1159,66
10.01.2020 07:15;1186,68
10.01.2020 07:30;1197,02
10.01.2020 07:45;1205,55
10.01.2020 08:00;1207,80
10.01.2020 08:15;1211,73
10.01.2020 08:30;1214,46
10.01.2020 08:45;1223,85
10.01.2020 09:00;1217,29
10.01.2020 09:15;1192,55
10.01.2020 09:30;1190,87
10.01.2020 09:45;1202,20
10.01.2020 10:00;1193,06
10.01.2020 10:15;1204,66
10.01.2020 10:30;1205,22
10.01.2020 10:45;1215,11
10.01.2020 11:00;1215,90
10.01.2020 11:15;1205,74
10.01.2020 11:30;1199,27
10.01.2020 11:45;1201,79
10.01.2020 12:00;1191,56
10.01.2020 12:15;1175,79
